id;address;authors;authors_original;booktitle;date;editor;editors_original;institution;journal;month;note;pages;publisher;tech;title;type;volume;year
785;;d kibler d aha and m k albert ;d kibler d aha and m k albert ;;;;;;machine learning ;;;;;;instance based learning algorithms ;;6 1;1991
786;boston ma ;langley p kibler d granger r ;langley p kibler d granger r ;;;mitchell j g carbonell r s michalski eds ;;;machine learning a guide to current research;;;pp 167 172;kluwer ;;components of learning in a reactive environment in t m ;;;1986
787;;nilsson n j ;nilsson n j ;;;;;;journal of artificial intelligence research 1;;;139 158;;;teleo reactive programs for agent control ;;;1994
788;;nilsson n j ;nilsson n j ;;;;;;journal of artificial intelligence research 1;;;139 158;;;teleo reactive programs for agent control ;;;1994
789;;nilsson n j ;nilsson n j ;;;;;;journal of artificial intelligence research 1;;;139 158;;;teleo reactive programs for agent control ;;;1994
790;san mateo ca ;norvig p ;norvig p ;;;;;;;;;;morgan kaufmann ;;paradigms of artificial intelligence programming case studies in common lisp ;;;1992
791;san mateo ca ;norvig p ;norvig p ;;;;;;;;;;morgan kaufmann ;;paradigms of artificial intelligence programming case studies in common lisp ;;;1992
792;san mateo ca ;norvig p ;norvig p ;;;;;;;;;;morgan kaufmann ;;paradigms of artificial intelligence programming case studies in common lisp ;;;1992
793;san mateo ca ;norvig p ;norvig p ;;;;;;;;;;morgan kaufmann ;;paradigms of artificial intelligence programming case studies in common lisp ;;;1992
794;;ortega j and fisher d ;ortega j and fisher d ;ijcai 95;;;;;;;;;;;flexibly exploiting prior knwledge in empirical learning ;;;1995
795;;pazzani m j kibler d ;pazzani m j kibler d ;;;;;irvine ca university of california irvine department of information and computer science ;;;;;;;the utility of knowledge in inductive learning ;technical report no 90 18;;1990
796;irvine ;pazzani m kibler d ;pazzani m kibler d ;;;;;department of information and computer science ;;;;;;;the utility of knowledge in inductive learning;technical report 90 18;;1990
797;irvine ca ;pazzani m kibler d ;pazzani m kibler d ;;;;;university of california department of information computer science ;;;;;;;the utility of knowledge in inductive learning;technical report no 9018;;1990
798;;michael pazzani and dennis kibler ;michael pazzani and dennis kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
799;;m pazzani d kibler ;m pazzani d kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
800;;pazzani m and kibler d ;pazzani m and kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9 1;1991
801;;pazzani m and kibler d ;pazzani m and kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9 1;1991
802;boston ma ;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning;;;1;kluwer academic publishers ;;the utility of knowledge in inductive learning ;;v 9;1992
803;;pazzani m j kibler d ;pazzani m j kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
804;;pazzani m j kibler d ;pazzani m j kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
805;;pazzani m j kibler d ;pazzani m j kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
806;boston ma ;pazzani m j kibler d ;pazzani m j kibler d ;;;;;;machine learning ;;;1;kluwer academic publishers ;;the utility of knowledge in inductive learning ;;volume 9;1992
807;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;;;;the role of prior knowledge in inductive learning ;;;1992
808;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of background knowledge in inductive learning ;;9;1992
809;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of background knowledge in inductive learning ;;9;1992
810;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of background knowledge in inductive learning ;;9;1992
811;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of background knowledge in inductive learning ;;9;1992
812;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
813;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9 1;1992
814;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9 1;1992
815;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;;;;the utility of knowledge in inductive learning ;;9 1;1992
816;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;;;;the utility of knowledge in inductive learning ;;9 1;1992
817;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;;;;the utility of knowledge in inductive learning ;;9 1;1992
818;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;;;;the utility of knowledge in inductive learning ;;9 1;1992
819;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
820;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
821;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
822;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
823;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
824;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
825;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
826;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
827;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
828;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
829;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
830;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
831;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
832;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
833;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
834;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
835;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
836;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of prior knowledge in inductive learning ;;9;1992
837;;pazzani m kibler d ;pazzani m kibler d ;;;;;;machine learning ;;;57 94;;;the utility of prior knowledge in inductive learning ;;9;1992
838;;pazzani michael and kibler dennis 1992;pazzani michael and kibler dennis 1992;;;;;;machine learning 9 1;;;;;;the utility of knowledge in inductive learning ;;;
839;;pazzani m j and kibler d ;pazzani m j and kibler d ;;;;;;ma chine learning ;;;pp 54 97;;;the role of prior knowledge in inductive learning ;;vol 9 1992;
840;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
841;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
842;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;pp 57 94;;;the utility of knowledge in inductive learning ;;vol 9;1991
843;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
844;;michael pazzani and dennis kibler ;michael pazzani and dennis kibler ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9;1992
845;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;pp 57 94;;;the utility of knowledge in inductive learning ;;vol 9;1992
846;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;pp 57 94;;;the utility of knowledge in inductive learning ;;vol 9;1992
847;;michael pazzani and dennis kibler ;michael pazzani and dennis kibler ;;;;;;machine learning journal ;;;;;;the utility of knowledge in inductive learning ;;;1992
848;;m pazzani and d kibler ;m pazzani and d kibler ;;;;;;machine learning ;;;;;;the utility of knowledge in inductive learning ;;9 1;1992
849;;pazzani m and kibler d ;pazzani m and kibler d ;;;;;;machine learning ;;;57 94;;;the utility of knowledge in inductive learning ;;9 1;1991
850;;porter b w kibler d f ;porter b w kibler d f ;;;;;;machine learning ;;;249 286;;;experimental goal regression a method for learning problem solving heuristics ;;1;1986
851;;porter b w kibler d f ;porter b w kibler d f ;;;;;;machine learning ;;;249 286;;;experimental goal regression a method for learning problem solving heuristics ;;1;1986
852;;porter b w kibler d f ;porter b w kibler d f ;;;;;;machine learning ;;;249 285;;;experimental goal regression a method for learning problem solving ;;1 3;1986
853;;porter b w kibler d f ;porter b w kibler d f ;;;;;;machine learning ;;;249 285;;;experimental goal regression a method for learning problem solving ;;1 3;1986
854;;porter b w kibler d f ;porter b w kibler d f ;;;;;;machine learning ;;;249 285;;;experimental goal regression a method for learning problem solving ;;1 3;1986
855;;d ruby and d kibler ;d ruby and d kibler ;in proceedings of ijcai 89;;;;;;;;pages 609 614;;;learning subgoal sequences for planning ;;;1989
856;detroit mi ;ruby d kibler d ;ruby d kibler d ;proceedings of the eleventh international joint conference on artificial intelligence ;;;;;;;;pp609 614;morgan kauf mann ;;learning subgoal sequences for planning ;;;1989
857;;ruby d kibler d ;ruby d kibler d ;in proceedings of aaai 91;;;;;;;;;aaai press ;;learning subgoal sequences for planning ;;;1991
858;;ruby d kibler d ;ruby d kibler d ;in proceedings of aaai 91;;;;;;;;;aaai press ;;learning subgoal sequences for planning ;;;1991
859;;ruby d kibler d ;ruby d kibler d ;in proceedings of aaai 91;;;;;;;;;aaai press ;;learning subgoal sequences for planning ;;;1991
860;menlo park ca ;ruby d kibler d ;ruby d kibler d ;in proceedings of the ninth national conference on artificial intelligence ;;;;;;;;;aaai press the mit press ;;steppingstone an empirical and analytical evaluation ;;;1991
861;los altos ca ;ruby d kibler d ;ruby d kibler d ;proceedings of the ninth national conference on artificial intelligence ;;;;;;;;;morgan kaufmann ;;steppingstone an empirical and analytical evaluation ;;;1991
862;;ruby d and kibler d ;ruby d and kibler d ;in machine learning proceedings of the ninth international workshop ml92;;;;;;;;379 384;;;learning episodes for optimization ;;;1992
863;;david ruby and dennis kibler ;david ruby and dennis kibler ;in machine learning proceedings of the ninth international workshop ml92;;;;;;;;pages 379 384;;;learning episodes for optimization ;;;1992
864;;david ruby and dennis kibler ;david ruby and dennis kibler ;in machine learning proceedings of the ninth international workshop ml92;;;;;;;;pages 379 384;;;learning episodes for optimization ;;;1992
865;;david ruby and dennis kibler ;david ruby and dennis kibler ;in machine learning proceedings of the ninth international workshop ml92;;;;;;;;pages 379 384;;;learning episodes for optimization ;;;1992
866;;rudy d kibler d ;rudy d kibler d ;proceedings of the ninth international conference on machine learning ;;;;;;;;;morgan kaufmann ;;learning episodes for optimization ;;;1992
867;;suzanne skiblics edward j klimas and david a thomas ;suzanne skiblics edward j klimas and david a thomas ;;;;;;;;;;prentice hall ;;smalltalk with style ;;;1996
868;;t a standish d c harriman d f kibler and j m neighbors ;t a standish d c harriman d f kibler and j m neighbors ;;;;;department of information and computer science university of california irvine ;;january;;;;;the irvine program transformation catalogue ;;;1976
869;;townsend webber t kibler d ;townsend webber t kibler d ;aaai workshop on case based reasoning ;;;;;;;;;;;instance based prediction of continuous values ;;;1994
870;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;proceedings of the 1994 aaai workshop on case based reasoning;;;;;;;;pp 30 35;aaai ;;instance based prediction of continuous values ;;;1994
871;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;proceedings of the 1994 aaai workshop on case based reasoning;;;;;;;;pp 30 35;aaai ;;instance based prediction of continuous values ;;;1994
872;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
873;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
874;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
875;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
876;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
877;seattle wa ;townsend weber t kibler d ;townsend weber t kibler d ;working notes of the aaai94 workshop on case based reasoning;;;;;;;;pp 30 35;aaai press ;;instance based prediction of continuous values ;;;1994
878;menlo park ca ;townsend weber t kibler d ;townsend weber t kibler d ;case based reasoning papers from the 1994 workshop;;in d w aha ed ;;;;;;;aaai press ;;instance based prediction of continuous values ;technical report ws 94 01;;1994
879;menlo park ca ;townsend weber t kibler d ;townsend weber t kibler d ;case based reasoning papers from the 1994 workshop;;in d w aha ed ;;;;;;;aaai press ;;instance based prediction of continuous values ;technical report ws 94 01;;1994
880;u c irvine ca ;aha d and kibler d ;aha d and kibler d ;in proceedings of the fourth international conference on machine learning ;;;;;;;;pages 24 30;morgan kaufmann ;;learning representative exemplars of concepts an initial case study ;;;1987
881;u c irvine ca ;aha d and kibler d ;aha d and kibler d ;in proceedings of the fourth international conference on machine learning ;;;;;;;;pages 24 30;morgan kaufmann ;;learning representative exemplars of concepts an initial case study ;;;1987
882;u c irvine ca ;aha d and kibler d ;aha d and kibler d ;in proceedings of the fourth international conference on machine learning ;;;;;;;;pages 24 30;morgan kaufmann ;;learning representative exemplars of concepts an initial case study ;;;1987
883;irvine ca ;d kibler and d w aha ;d kibler and d w aha ;in proceedings of the fourth international workshop on machine learning ;;;;;;;;pages 24 30;morgan kaufmann ;;learning representative exemplars of concepts an initial case study ;;;1987
884;irvine ca ;d kibler and d w aha ;d kibler and d w aha ;proceedings of the fourth international workshop on machine learning ;;;;;;;;24 30;morgan kaufmann ;;learning representative examples of concepts an initial case study ;;;
885;ca ;dennis kibler and david w aha ;dennis kibler and david w aha ;proc 4th international workshop on machine learning;;;;;;;;;kaufmann ;;learning representative exemplars of concepts an initial case study in p langley editor ;;;1987
886;;d kibler and d w aha ;d kibler and d w aha ;proceedings of 3rd european working session on learning;;;;;;;;;pitman ;;comparing instance averaging and instance filtering learning algorithms ;;;1988
887;;d kibler and d w aha ;d kibler and d w aha ;proceedings of 3rd european working session on learning;;;;;;;;;pitman ;;comparing instance averaging and instance filtering learning algorithms ;;;1988
888;;d kibler and d w aha ;d kibler and d w aha ;proceedings of 3rd european working session on learning;;;;;;;;;pitman ;;comparing instance averaging and instance filtering learning algorithms ;;;1988
889;;d kibler and d w aha ;d kibler and d w aha ;proceedings of 3rd european working session on learning;;;;;;;;;pitman ;;comparing instance averaging and instance filtering learning algorithms ;;;1988
890;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
891;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
892;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
893;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
894;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
895;;david w aha dennis kibler and mark k albert ;david w aha dennis kibler and mark k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
896;;david w aha dennis kibler and mark k albert ;david w aha dennis kibler and mark k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
897;;aha d w d kibler and m albert ;aha d w d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;7;1991
898;;aha d w d kibler and m k albert ;aha d w d kibler and m k albert ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
899;;aha d w d kibler and m k albert ;aha d w d kibler and m k albert ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
900;;aha d w kibler d albert m k ;aha d w kibler d albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
901;;aha d w kibler d albert m k ;aha d w kibler d albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
902;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
903;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
904;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
905;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
906;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
907;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
908;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
909;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
910;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
911;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
912;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
913;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
914;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
915;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
916;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6 1;1991
917;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6 1;1991
918;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6 1;1991
919;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;mac hine learning;;;37 66;;;instance based learning algorithms ;;6;1991
920;;aha d d kibler and m albert ;aha d d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
921;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
922;;aha d kibler d albert m ;aha d kibler d albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
923;;aha d kibler d albert m ;aha d kibler d albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
924;;aha d kibler d albert m ;aha d kibler d albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
925;;aha d kibler d albert m ;aha d kibler d albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
926;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
927;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
928;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
929;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
930;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;7;1991
931;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
932;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
933;;aha d w kibler d albert m k ;aha d w kibler d albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
934;;aha d w kibler d albert m k ;aha d w kibler d albert m k ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
935;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
936;;d w aha d kibler m k albert ;d w aha d kibler m k albert ;;;;;;machine learning;;;37 66;;;1991 instance based learning algorithms;;6 1;
937;;d w aha d kibler m k albert ;d w aha d kibler m k albert ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6 1;1991
938;;david w aha dennis kibler and m k albert ;david w aha dennis kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
939;;aha d kibler d and albert m ;aha d kibler d and albert m ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
940;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
941;;aha d w kibler d and albert m k ;aha d w kibler d and albert m k ;;;;;;machine learning;;;37 66;;;instance based learning algorithms ;;6;1991
942;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
943;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
944;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
945;;d aha d kibler and m albert ;d aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
946;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
947;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
948;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
949;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
950;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
951;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
952;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
953;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
954;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
955;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
956;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instancebased learning algorithms ;;6 1;1991
957;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;january;;37 66;;;instance based learning algorithms ;;6;1991
958;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;january;;37 66;;;instance based learning algorithms ;;6;1991
959;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
960;;david w aha dennis kibler and marc k albert ;david w aha dennis kibler and marc k albert ;;;;;;machine learning ;january;;37 66;;;instance based learning algorithms ;;6 1;1991
961;;david w aha dennis kibler and marc k albert ;david w aha dennis kibler and marc k albert ;;;;;;machine learning ;january;;37 66;;;instance based learning algorithms ;;6 1;1991
962;;david w aha dennis kibler and marc k albert ;david w aha dennis kibler and marc k albert ;;;;;;machine learning ;january;;37 66;;;instance based learning algorithms ;;6 1;1991
963;;d w aha d kibler and m albert ;d w aha d kibler and m albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
964;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
965;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
966;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
967;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
968;;d w aha d kibler and m k albert;d w aha d kibler and m k albert;;;;;;machine learning ;;;37 66;;; instance based learning algorithms ;;6;1991
969;;d aha and d kibler ;d aha and d kibler ;;;;;;machine learning ;;;794 799;;;noise tolerant instance based learning algorithms ;;8;1991
970;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
971;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
972;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
973;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
974;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
975;;david w aha dennis kibler and marc k albert ;david w aha dennis kibler and marc k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6 1;1991
976;;d w aha d kibler and m k albert ;d w aha d kibler and m k albert ;;;;;;machine learning ;;;37 66;;;instance based learning algorithms ;;6;1991
